Spain;EWP
Switzerland;EWL
Australia;EWA
UK;EWU
Canada;EWC
Austria;EWO
Belgium;EWK
Denmark;EDEN
Finland;EFNL
France;EWQ
Germany;DAX
Hong Kong;EWH
Ireland;EIRL
Israel;EIS
Italy;EWI
China;MCHI
India;INDA
Peru;EPU
Brazil;EWZ
Chile;ECH
Colombia;ICOL
Indonesia;EIDO
Malaysia;EWM
Mexico;EWW
Philippines;EPHE
Poland;EPOL
Qatar;QAT
Russia;ERUS
South Africa;EZA
South Korea;EWY
Taiwan;EWT
Thailand;THD
Turkey;TUR
United Arab Emirates;UAE
USA;IVV
Argentina;AGT
Greece;GREK
Japan;EWJ
Malaysia;EWM
Netherlands;EWN
New Zealand;ENZL
Norway;ENOR
Singapore;EWS
Sweden;EWD
Vietnam;VNM
Saudi Arabia;KSA
Nigeria;NGE
Pakistan;PAK
Portugal;PGAL
